"Primary Fur Color",Runners,Chasers,Climbers,Eaters,Foragers,Kukkers,Quaasers,Moaners,Tail_flaggers,Tail_twitchers,Approachers,Indifferent,Fleers
,0.0727,0.0727,0.3273,0.1091,0.1091,0.1818,0.0909,0.0182,0.0182,0.0545,0.0364,0.1818,0.1455
Black,0.2524,0.0680,0.2427,0.2330,0.4175,0.0291,0.0485,0.0000,0.0583,0.1748,0.0583,0.4272,0.3107
Cinnamon,0.2628,0.0765,0.2092,0.2832,0.5179,0.0255,0.0128,0.0000,0.0663,0.1913,0.1122,0.4617,0.2219
Gray,0.2407,0.0964,0.2160,0.2504,0.4789,0.0320,0.0142,0.0008,0.0494,0.1370,0.0511,0.4935,0.2224
